,Title,Release_Date,World_Wide_Box_Office,Rotten_Tomatoes,Metacritic,Distributor,Original_Game_Publisher,Type
0,Super Mario Bros.,"May 28, 1993","$20,915,465[3]",21%[4],,Buena Vista Pictures Distribution,Nintendo,Live-Action
1,Double Dragon,"November 4, 1994","$2,341,309[5]",8%[6],,Gramercy Pictures,Technōs Japan,Live-Action
2,Street Fighter,"December 23, 1994","$99,423,521[7]",11%[8],,Universal Pictures,Capcom,Live-Action
3,Mortal Kombat,"August 18, 1995","$122,195,920[9]",46%[10],58/100[11],New Line Cinema,Midway Games,Live-Action
4,Mortal Kombat: Annihilation,"November 21, 1997","$51,376,861[12]",2%[13],11/100[14],New Line Cinema,Midway Games,Live-Action
5,Wing Commander,"March 12, 1999","$11,578,059[15]",10%[16],21/100[17],20th Century Fox,Origin Systems,Live-Action
6,Lara Croft: Tomb Raider,"June 15, 2001","$274,703,340[18]",20%[19],33/100[20],Paramount Pictures,Eidos,Live-Action
7,Resident Evil,"March 15, 2002","$102,984,862[21]",34%[22],33/100[23],Screen Gems,Capcom,Live-Action
8,Lara Croft: Tomb Raider – The Cradle of Life,"July 25, 2003","$156,505,388[24]",25%[25],43/100[26],Paramount Pictures,Eidos,Live-Action
9,House of the Dead,"October 10, 2003","$13,818,181[27]",3%[28],15/100[29],Artisan Entertainment,Sega,Live-Action
10,Resident Evil: Apocalypse,"September 10, 2004","$129,342,769[30]",20%[31],35/100[32],Screen Gems,Capcom,Live-Action
11,Alone in the Dark,"January 28, 2005","$10,442,808[33]",1%[34],9/100[35],Lions Gate Films,Infogrames,Live-Action
12,Doom,"October 21, 2005","$55,987,321[36]",19%[37],34/100[38],Universal Pictures,id Software,Live-Action
13,BloodRayne,"January 6, 2006","$3,650,275[39]",4%[40],18/100[41],Boll KG Productions,Majesco Entertainment,Live-Action
14,Silent Hill,"April 21, 2006","$97,607,453[42]",31%[43],31/100[44],TriStar Pictures,Konami,Live-Action
15,DOA: Dead or Alive,"September 7, 2006","$7,516,532[45]",33%[46],38/100[47],Dimension Films,Tecmo,Live-Action
16,Resident Evil: Extinction,"September 21, 2007","$148,412,065[48]",23%[49],41/100[50],Screen Gems,Capcom,Live-Action
17,Postal,"October 18, 2007","$146,741",7%,22/100,Vivendi Entertainment,Ripcord Games,Live-Action
18,Hitman,"November 21, 2007","$99,965,792[51]",15%[52],35/100[53],Cannon Pictures,Eidos,Live-Action
19,In the Name of the King: A Dungeon Siege Tale,"January 11, 2008","$13,097,915[54]",4%[55],15/100[56],20th Century Fox,Microsoft Studios,Live-Action
20,Far Cry,"October 2, 2008","$743,634[57]",N/A[58],,20th Century Fox,Ubisoft,Live-Action
21,Max Payne,"October 17, 2008","$85,416,905[59]",16%[60],31/100[61],20th Century Fox,Rockstar Games,Live-Action
22,Street Fighter: The Legend of Chun-Li,"February 27, 2009","$12,764,201[62]",5%[63],17/100[64],20th Century Fox,Capcom,Live-Action
23,Tekken,"March 20, 2010","$967,369[65]",0%[66],,Warner Bros Pictures.,Bandai Namco Games,Live-Action
24,Prince of Persia: The Sands of Time,"May 28, 2010","$336,365,676[67]",37%[68],50/100[69],Walt Disney Studios Motion Pictures,Ubisoft,Live-Action
25,Resident Evil: Afterlife,"September 10, 2010","$300,228,084[70]",23%[71],37/100[72],Screen Gems,Capcom,Live-Action
26,Resident Evil: Retribution,"September 14, 2012","$240,004,424[73]",29%[74],39/100[75],Screen Gems,Capcom,Live-Action
27,Silent Hill: Revelation,"October 26, 2012","$52,302,796[76]",8%[77],16/100[78],Open Road Films,Konami,Live-Action
28,Need for Speed,"March 14, 2014","$203,277,636[79]",22%[80],39/100[81],Walt Disney Studios Motion Pictures,Electronic Arts,Live-Action
29,Hitman: Agent 47,"August 21, 2015","$82,347,656[82]",9%[83],28/100[84],20th Century Fox,Square Enix,Live-Action
30,Warcraft,"June 10, 2016","$433,537,548[85]",28%[86],32/100[87],Universal Pictures,Blizzard Entertainment,Live-Action
31,Assassin's Creed,"December 21, 2016","$240,558,621[88]",18%[89],36/100[90],20th Century Fox,Ubisoft,Live-Action
32,Resident Evil: The Final Chapter,"January 27, 2017","$312,257,250[91]",37%[92],49/100[93],Screen Gems,Capcom,Live-Action
33,Tomb Raider,"March 16, 2018","$274,650,803[94]",52%[95],48/100[96],Warner Bros. Pictures,Square Enix,Live-Action
34,Rampage,"April 13, 2018","$428,028,233[97]",52%[98],45/100[99],Warner Bros. Pictures,Warner Bros. Interactive Entertainment,Live-Action
35,Pokémon Detective Pikachu,"May 10, 2019","$431,505,346[100]",68%[101],53/100[102],Warner Bros. Pictures,Nintendo,Live-Action
36,Sonic the Hedgehog[103],"February 14, 2020",TBA,TBA,TBA,Paramount Pictures,Sega,Live-Action
37,Monster Hunter[104],"September 4, 2020[105]",TBA,TBA,TBA,Screen Gems,Capcom,Live-Action
38,Uncharted,"December 18, 2020[106]",TBA,TBA,TBA,Sony Pictures Releasing,Sony Interactive Entertainment,Live-Action
39,Mortal Kombat[107],"March 5, 2021[108]",TBA,TBA,TBA,Warner Bros. Pictures,Midway Games,Live-Action
40,Untitled Call of Duty film,TBA,TBA,TBA,TBA,Activision Blizzard Studios,Activision,Live-Action
41,Untitled Gears of War film,TBA,TBA,TBA,TBA,Universal Pictures,Microsoft Studios,Live-Action
42,Untitled Metal Gear Solid film,TBA,TBA,TBA,TBA,Sony Pictures Releasing,Konami,Live-Action
43,Pokémon Detective Pikachu 2,TBA,TBA,TBA,TBA,Warner Bros. Pictures,Nintendo,Live-Action
44,Untitled Tetris film,TBA,TBA,TBA,TBA,TBA,The Tetris Company,Live-Action
45,Tomb Raider 2[109],TBA,TBA,TBA,TBA,Warner Bros. Pictures,Square Enix,Live-Action
46,Final Fantasy: The Spirits Within,"July 11, 2001","$85,131,830[110]",45%[111],49/100[112],Columbia Pictures,Square,Animated
47,Ratchet & Clank,"April 29, 2016","$11,821,329[113]",21%[114],29/100[115],Gramercy Pictures,Sony Interactive Entertainment,Animated
48,The Angry Birds Movie,"May 20, 2016","$352,333,929[116]",44%[117],43/100[118],Sony Pictures Releasing,Rovio Entertainment,Animated
49,The Angry Birds Movie 2,"August 14, 2019","$48,142,409[119]",76%[120],60/100[121],Sony Pictures Releasing,Rovio Entertainment,Animated
50,Dragon's Lair: The Movie[122],"May 1, 2020",TBA,TBA,TBA,Don Bluth Films,Cinematronics,Animated
51,Untitled Minecraft film,"March 4, 2022",TBA,TBA,TBA,Warner Bros. Pictures,Mojang,Animated
52,Untitled Mario film[123][124][125],2022,TBA,TBA,TBA,Universal Pictures,Nintendo,Animated
53,Street Fighter II: The Animated Movie,"August 6, 1994","$16,000,000[126]",,,Toei Company,Capcom,Japanese-International
54,Pokémon: The First Movie,"July 18, 1998 (JP)November 10, 1999 (NA)","$172,744,662[127]",15%[128],35/100[129],Toho,Nintendo,Japanese-International
55,Pokémon: The Movie 2000,"July 17, 1999 (JP)July 21, 2000 (NA)","$133,949,270[130]",19%[131],28/100[132],Toho,Nintendo,Japanese-International
56,Pokémon 3: The Movie,"July 8, 2000 (JP)April 6, 2001 (NA)","$68,411,275[133]",21%[134],22/100[135],Toho,Nintendo,Japanese-International
57,Pokémon 4Ever,"July 7, 2001 (JP)October 11, 2002 (NA)","$28,023,563[136]",16%[137],25/100[138],Toho,Nintendo,Japanese-International
58,Pokémon Heroes,"July 13, 2002 (JP)May 16, 2003 (NA)","$20,867,919[139]",17%[140],27/100[141],Toho,Nintendo,Japanese-International
59,Pokémon: Zoroark: Master of Illusions,"July 10, 2010","$71,143,529[142]",,,Toho,Nintendo,Japanese-International
60,Yo-kai Watch: The Movie,"December 20, 2014","$80,268,947[b]",80%[143],,Toho,Level-5,Japanese-International
61,Yo-Kai Watch: Enma Daiō to Itsutsu no Monogatari da Nyan!,"December 19, 2015","$58,850,969[c]",,,Toho,Level-5,Japanese-International
62,Kingsglaive: Final Fantasy XV,"July 9, 2016 (JP)August 19, 2016 (NA)","$6,550,000[144][145]",13%,35/100[146],Stage 6 Films,Square Enix,Japanese-International
63,Pokémon the Movie: I Choose You!,"July 15, 2017 (JP)November 5, 2017 (NA)","$37,552,407[147][148]",43%,TBA,Toho,Nintendo,Japanese-International
64,Pokémon the Movie: The Power of Us,"July 13, 2018 (JP)November 24, 2018 (NA)","$23,740,788[149]",60%,TBA,Toho,Nintendo,Japanese-International
